INPUT NAME, N, P, R, DISTRIBUTE_READ, TIME, TIME(DD), TIME(BS), TIME(PV), TIME(FE), TIME(FE-PV), SPEEDUP, SPEEDUP(DD), SPEEDUP(BS), SPEEDUP(PV), SPEEDUP(FE), SPEEDUP(FE-PV) 
matrix_128_0.txt, 128, 2, 2, 0, 209.226177, 56.128986, 137.487091, 9.306095, 15.610100, 6.304005, 0.258722, 0.796077, 0.064661, 0.089511, 0.481675, 1.060596
matrix_128_0.txt, 128, 4, 2, 0, 405.442112, 67.946075, 308.909058, 15.842519, 28.586979, 12.744460, 0.132237, 0.657624, 0.028779, 0.052580, 0.263022, 0.524620
matrix_256_0.txt, 256, 1, 2, 0, 224.148140, 99.897995, 64.505066, 4.458746, 59.745079, 55.286333, 1.0, 1.0, 1.0, 1.0
matrix_256_0.txt, 256, 2, 2, 0, 389.640846, 153.763062, 180.212845, 28.662340, 55.664940, 27.002600, 0.376047, 0.649688, 0.357938, 0.155570, 1.073297, 2.047432
matrix_256_0.txt, 256, 4, 2, 0, 573.139198, 123.990173, 367.041962, 42.039906, 82.107063, 40.067158, 0.255934, 0.805693, 0.175743, 0.106066, 0.727647, 1.379833
matrix_512_0.txt, 512, 1, 2, 0, 1851.308167, 710.019104, 579.811035, 38.826363, 561.478027, 522.651665, 1.0, 1.0, 1.0, 1.0
matrix_128_0.txt, 128, 8, 2, 0, 902.028214, 126.572044, 689.210083, 30.676928, 86.246086, 55.569159, 0.063128, 0.353024, 0.012899, 0.027154, 0.087181, 0.120319
matrix_256_0.txt, 256, 8, 2, 0, 1217.362183, 232.512024, 795.378052, 86.755203, 189.472107, 102.716904, 0.124828, 0.429647, 0.081100, 0.051397, 0.315323, 0.538237
matrix_2048_0.txt, 2048, 8, 1, 0, 88356.763672, 31133.195312, 28825.765625, 23600.265625, 28397.802734, 4797.537109, 1.153889, 1.160881, 1.176119, 0.034283, 1.184119, 6.840445
matrix_1024_0.txt, 1024, 16, 1, 0, 12244.220459, 4323.038086, 4274.303223, 1814.839722, 3646.879150, 1832.039429, 1.029997, 1.163327, 1.053493, 0.104930, 1.215587, 2.315816
matrix_1024_0.txt, 1024, 1, 2, 0, 13606.215332, 4904.788086, 4387.199219, 178.530579, 4314.228027, 4135.697449, 1.0, 1.0, 1.0, 1.0
matrix_1024_0.txt, 1024, 2, 2, 0, 13200.766113, 4745.640625, 4298.012695, 1402.698730, 4157.112793, 2754.414062, 1.018667, 1.033536, 1.020751, 0.127277, 1.037794, 1.501480
matrix_1024_0.txt, 1024, 4, 2, 0, 14657.539062, 5200.286133, 4876.206055, 1894.737427, 4581.046875, 2686.309448, 0.905797, 0.943177, 0.899716, 0.094225, 0.941756, 1.539546
matrix_2048_0.txt, 2048, 1, 2, 0, 105461.054688, 36698.796875, 34525.269531, 814.970459, 34236.988281, 33422.017822, 1.0, 1.0, 1.0, 1.0
matrix_2048_0.txt, 2048, 4, 2, 0, 102333.210938, 35659.191406, 33532.042969, 12681.503906, 33141.976562, 20460.472656, 1.026015, 1.029154, 1.029620, 0.064264, 1.033040, 1.633492
matrix_128_0.txt, 128, 16, 2, 0, 1855.071991, 235.305984, 1429.250977, 56.969738, 190.515030, 133.545292, 0.031243, 0.189893, 0.006220, 0.014622, 0.039467, 0.050065
matrix_256_0.txt, 256, 16, 2, 0, 2481.795258, 472.249084, 1632.013062, 112.984360, 377.533112, 264.548752, 0.060611, 0.211537, 0.039525, 0.039466, 0.158251, 0.208982
matrix_1024_0.txt, 1024, 8, 2, 0, 11738.760254, 4117.931152, 4116.166016, 1740.287231, 3504.663086, 1764.375854, 1.052506, 1.191081, 1.065846, 0.102587, 1.230997, 2.344000
matrix_128_0.txt, 128, 1, 4, 0, 36.243719, 19.955013, 8.829809, 0.795768, 7.458897, 6.663129, 1.0, 1.0, 1.0, 1.0
matrix_128_0.txt, 128, 2, 4, 0, 366.846638, 55.449860, 295.975891, 7.723374, 15.420887, 7.697513, 0.063469, 0.359875, 0.029834, 0.103064, 0.483695, 0.865604
matrix_128_0.txt, 128, 4, 4, 0, 715.526802, 65.217926, 625.743958, 12.500486, 24.564919, 12.064432, 0.032002, 0.305974, 0.014111, 0.063678, 0.303644, 0.552285
matrix_128_0.txt, 128, 8, 4, 0, 1580.113319, 140.247131, 1340.099121, 36.948967, 99.767067, 62.818100, 0.015447, 0.142285, 0.006589, 0.021543, 0.074764, 0.106068
matrix_256_0.txt, 256, 1, 4, 0, 220.725128, 97.970093, 63.732040, 4.378597, 59.022995, 54.644398, 1.0, 1.0, 1.0, 1.0
matrix_256_0.txt, 256, 2, 4, 0, 482.097954, 94.627037, 334.411926, 24.790518, 53.058990, 28.268473, 0.273097, 1.035328, 0.190579, 0.176640, 1.112403, 1.933037
matrix_256_0.txt, 256, 4, 4, 0, 885.412811, 122.962868, 681.472961, 38.829018, 80.976982, 42.147964, 0.141928, 0.796745, 0.093521, 0.112776, 0.728886, 1.296480
matrix_256_0.txt, 256, 8, 4, 0, 1990.398727, 279.121918, 1477.648926, 81.949440, 233.627884, 151.678444, 0.067413, 0.350994, 0.043131, 0.053435, 0.252637, 0.360262
matrix_512_0.txt, 512, 1, 4, 0, 1868.591125, 718.421021, 584.356079, 39.558716, 565.814026, 526.255310, 1.0, 1.0, 1.0, 1.0
matrix_1024_0.txt, 1024, 1, 4, 0, 14679.544922, 5283.625000, 4734.249023, 197.535568, 4661.670898, 4464.135330, 1.0, 1.0, 1.0, 1.0
matrix_1024_0.txt, 1024, 2, 4, 0, 13278.757812, 4722.793457, 4425.703613, 877.906677, 4130.260742, 3252.354065, 1.067348, 1.118750, 1.069717, 0.225008, 1.128663, 1.372586
matrix_1024_0.txt, 1024, 4, 4, 0, 15154.549316, 5251.144043, 5261.575195, 1161.876709, 4641.830078, 3479.953369, 0.912333, 1.006186, 0.899778, 0.170015, 1.004274, 1.282815
matrix_2048_0.txt, 2048, 1, 4, 0, 108212.945312, 37548.031250, 35478.226562, 783.463623, 35186.687500, 34403.223877, 1.0, 1.0, 1.0, 1.0
matrix_2048_0.txt, 2048, 2, 4, 0, 97665.265625, 34000.398438, 31992.828125, 5410.221680, 31672.039062, 26261.817383, 1.102513, 1.104341, 1.108943, 0.144812, 1.110970, 1.310009
